Skills,Interest,Personality,Education_Level,Recommended_Career
SEO; Content Writing,Programming,Social,UG,Digital Marketer
Java; Android,Web Development,Social,PG,Android Developer
SEO; Content Writing,Marketing,Logical,Diploma,Digital Marketer
Android; Kotlin,Marketing,Logical,UG,Android Developer
Wireframing; User Research,Programming,Creative,PG,UI/UX Designer
Git; GitHub,Programming,Analytical,UG,Software Engineer
CI/CD; Jenkins,Marketing,Social,Diploma,DevOps Engineer
Azure; Cloud Security,Marketing,Analytical,PG,Cloud Engineer
Python; SQL; PowerBI,DevOps,Analytical,Diploma,Data Scientist
Machine Learning; Python,Cloud Computing,Analytical,Diploma,Data Scientist
CI/CD; Jenkins,Machine Learning,Creative,Diploma,DevOps Engineer
Photoshop; Illustrator,Marketing,Creative,Diploma,UI/UX Designer
GCP; Cloud Architecture,Web Development,Creative,Diploma,Cloud Engineer
Python; OOP,Web Development,Creative,UG,Software Engineer
Python; Pandas; NumPy,Designing,Logical,PG,Data Scientist
Python; Data Analysis,Machine Learning,Social,PG,Data Scientist
Google Ads; Analytics,Designing,Logical,Diploma,Digital Marketer
React; NodeJS,Designing,Social,PG,Web Developer
Email Marketing; Branding,Mobile Development,Social,PG,Digital Marketer
TensorFlow; Python,App Development,Creative,PG,ML Engineer
PyTorch; Neural Networks,Programming,Creative,PG,ML Engineer
HTML; CSS; JavaScript,Data Analysis,Social,UG,Web Developer
Deep Learning; Python,Programming,Creative,Diploma,ML Engineer
Android; Flutter,DevOps,Logical,Diploma,Mobile App Developer
Java; Android,Machine Learning,Analytical,Diploma,Android Developer
Android Studio; Kotlin,Designing,Creative,PG,Android Developer
Android; Kotlin,Programming,Logical,UG,Android Developer
C++; DSA,Designing,Social,UG,Software Engineer
Java; Spring,Marketing,Creative,Diploma,Software Engineer
CI/CD; Jenkins,Data Analysis,Analytical,UG,DevOps Engineer
C++; DSA,App Development,Social,PG,Software Engineer
GCP; Cloud Architecture,Web Development,Creative,PG,Cloud Engineer
Figma; Prototyping,Designing,Creative,PG,UI/UX Designer
Python; ML Algorithms,Programming,Social,Diploma,ML Engineer
React Native; JavaScript,Data Analysis,Social,Diploma,Mobile App Developer
Wireframing; User Research,Cloud Computing,Logical,Diploma,UI/UX Designer
Flutter; Dart,Programming,Analytical,PG,Mobile App Developer
Java; Android,Marketing,Creative,PG,Android Developer
Android; Flutter,App Development,Analytical,UG,Mobile App Developer
Deep Learning; Python,Cloud Computing,Creative,Diploma,ML Engineer
Android; Kotlin,Machine Learning,Logical,UG,Android Developer
Azure; Cloud Security,Mobile Development,Social,UG,Cloud Engineer
Deep Learning; Python,Designing,Creative,UG,ML Engineer
Docker; Kubernetes,DevOps,Social,UG,DevOps Engineer
Docker; Kubernetes,Mobile Development,Analytical,Diploma,DevOps Engineer
Java; Spring,App Development,Analytical,UG,Software Engineer
Git; GitHub,App Development,Creative,Diploma,Software Engineer
Email Marketing; Branding,Data Analysis,Logical,PG,Digital Marketer
Google Ads; Analytics,Marketing,Creative,Diploma,Digital Marketer
Wireframing; User Research,Designing,Logical,UG,UI/UX Designer
TensorFlow; Python,Cloud Computing,Social,PG,ML Engineer
Deep Learning; Python,App Development,Creative,PG,ML Engineer
Email Marketing; Branding,Data Analysis,Logical,Diploma,Digital Marketer
Azure; Cloud Security,Web Development,Social,Diploma,Cloud Engineer
React; NodeJS,Programming,Creative,PG,Web Developer
Docker; Kubernetes,Programming,Analytical,Diploma,DevOps Engineer
Python; SQL; PowerBI,Cloud Computing,Creative,UG,Data Scientist
Android Studio; Kotlin,Web Development,Social,Diploma,Android Developer
Android; Kotlin,DevOps,Logical,PG,Android Developer
Python; OOP,DevOps,Logical,Diploma,Software Engineer
Google Ads; Analytics,Designing,Logical,Diploma,Digital Marketer
Social Media Marketing,Cloud Computing,Logical,UG,Digital Marketer
Linux; Bash; DevOps,DevOps,Analytical,UG,DevOps Engineer
React; NodeJS,Marketing,Social,UG,Web Developer
CI/CD; Jenkins,Mobile Development,Logical,PG,DevOps Engineer
TensorFlow; Python,Web Development,Analytical,Diploma,ML Engineer
Git; GitHub,App Development,Analytical,PG,Software Engineer
PyTorch; Neural Networks,Designing,Logical,Diploma,ML Engineer
NextJS; JavaScript,Data Analysis,Social,Diploma,Web Developer
Email Marketing; Branding,Data Analysis,Creative,Diploma,Digital Marketer
CI/CD; Jenkins,Marketing,Social,UG,DevOps Engineer
NextJS; JavaScript,Programming,Logical,UG,Web Developer
C++; DSA,Programming,Social,UG,Software Engineer
Photoshop; Illustrator,Marketing,Analytical,Diploma,UI/UX Designer
Python; ML Algorithms,Mobile Development,Analytical,UG,ML Engineer
Java; Spring,Data Analysis,Social,UG,Software Engineer
Google Ads; Analytics,Cloud Computing,Logical,Diploma,Digital Marketer
PyTorch; Neural Networks,DevOps,Social,PG,ML Engineer
C++; DSA,App Development,Creative,PG,Software Engineer
Email Marketing; Branding,App Development,Analytical,PG,Digital Marketer
GCP; Cloud Architecture,Data Analysis,Creative,UG,Cloud Engineer
Social Media Marketing,Programming,Social,UG,Digital Marketer
TensorFlow; Python,DevOps,Creative,UG,ML Engineer
Python; OOP,App Development,Creative,Diploma,Software Engineer
Android Studio; Kotlin,Marketing,Logical,UG,Android Developer
Git; GitHub,App Development,Social,Diploma,Software Engineer
Google Ads; Analytics,Machine Learning,Social,Diploma,Digital Marketer
Statistics; Python,Marketing,Logical,Diploma,Data Scientist
Java; Android,Marketing,Creative,Diploma,Android Developer
C++; DSA,App Development,Analytical,UG,Software Engineer
Deep Learning; Python,Mobile Development,Social,PG,ML Engineer
Figma; Prototyping,Data Analysis,Analytical,Diploma,UI/UX Designer
C++; DSA,Data Analysis,Creative,PG,Software Engineer
Social Media Marketing,Designing,Analytical,PG,Digital Marketer
HTML; CSS; JavaScript,Marketing,Creative,Diploma,Web Developer
Python; ML Algorithms,Programming,Social,Diploma,ML Engineer
Wireframing; User Research,Web Development,Logical,Diploma,UI/UX Designer
Python; Pandas; NumPy,Cloud Computing,Social,UG,Data Scientist
HTML; CSS; JavaScript,Programming,Social,UG,Web Developer
Google Ads; Analytics,Designing,Analytical,Diploma,Digital Marketer
Python; SQL; PowerBI,Machine Learning,Logical,PG,Data Scientist
Java; Spring,Machine Learning,Social,UG,Software Engineer
SEO; Content Writing,Marketing,Creative,Diploma,Digital Marketer
React; NodeJS,Web Development,Analytical,PG,Web Developer
React Native; JavaScript,Cloud Computing,Analytical,PG,Mobile App Developer
HTML; CSS; JavaScript,Mobile Development,Creative,Diploma,Web Developer
Java; Android,Data Analysis,Logical,UG,Android Developer
Wireframing; User Research,Marketing,Analytical,Diploma,UI/UX Designer
Android Studio; Kotlin,App Development,Creative,Diploma,Android Developer
Email Marketing; Branding,Mobile Development,Creative,PG,Digital Marketer
Python; Data Analysis,Data Analysis,Analytical,UG,Data Scientist
HTML; CSS; JavaScript,Machine Learning,Analytical,Diploma,Web Developer
Java; Spring,Cloud Computing,Social,UG,Software Engineer
Machine Learning; Python,Mobile Development,Creative,UG,Data Scientist
Flutter; Dart,App Development,Creative,Diploma,Mobile App Developer
Flutter; Dart,App Development,Logical,Diploma,Mobile App Developer
HTML; CSS; JavaScript,Data Analysis,Analytical,UG,Web Developer
Java; Android,Machine Learning,Logical,Diploma,Android Developer
Python; SQL; PowerBI,Mobile Development,Social,UG,Data Scientist
Android Studio; Kotlin,Web Development,Creative,Diploma,Android Developer
Android; Kotlin,Cloud Computing,Logical,Diploma,Android Developer
Python; OOP,Mobile Development,Social,UG,Software Engineer
HTML; CSS; JavaScript,Programming,Creative,PG,Web Developer
Machine Learning; Python,App Development,Creative,PG,Data Scientist
C++; DSA,Marketing,Creative,PG,Software Engineer
Social Media Marketing,Designing,Social,Diploma,Digital Marketer
Flutter; Dart,Designing,Analytical,UG,Mobile App Developer
Android; Kotlin,Marketing,Logical,Diploma,Android Developer
Google Ads; Analytics,Web Development,Social,UG,Digital Marketer
Java; Android,DevOps,Creative,UG,Android Developer
React Native; JavaScript,Web Development,Social,UG,Mobile App Developer
Photoshop; Illustrator,DevOps,Social,PG,UI/UX Designer
TensorFlow; Python,Web Development,Logical,UG,ML Engineer
Android; Flutter,Marketing,Social,UG,Mobile App Developer
Social Media Marketing,Cloud Computing,Social,UG,Digital Marketer
C++; DSA,Data Analysis,Analytical,PG,Software Engineer
Google Ads; Analytics,Mobile Development,Creative,Diploma,Digital Marketer
Social Media Marketing,DevOps,Social,PG,Digital Marketer
GCP; Cloud Architecture,DevOps,Creative,UG,Cloud Engineer
AWS; Cloud,Cloud Computing,Analytical,UG,Cloud Engineer
GCP; Cloud Architecture,Programming,Creative,UG,Cloud Engineer
Docker; Kubernetes,Marketing,Social,UG,DevOps Engineer
Python; SQL; PowerBI,Web Development,Logical,PG,Data Scientist
Figma; Prototyping,Mobile Development,Creative,Diploma,UI/UX Designer
Python; OOP,Data Analysis,Creative,UG,Software Engineer
Android; Flutter,Data Analysis,Social,PG,Mobile App Developer
GCP; Cloud Architecture,App Development,Analytical,PG,Cloud Engineer
Java; Android,Machine Learning,Creative,PG,Android Developer
Python; Data Analysis,Data Analysis,Creative,PG,Data Scientist
AWS; Cloud,Mobile Development,Logical,UG,Cloud Engineer
Python; ML Algorithms,Web Development,Social,Diploma,ML Engineer
CI/CD; Jenkins,Data Analysis,Creative,Diploma,DevOps Engineer
Python; Data Analysis,Data Analysis,Analytical,PG,Data Scientist
Deep Learning; Python,Web Development,Social,PG,ML Engineer
Java; Android,Marketing,Creative,UG,Android Developer
C++; DSA,DevOps,Creative,UG,Software Engineer
AWS; Cloud,App Development,Logical,PG,Cloud Engineer
Android; Kotlin,Machine Learning,Analytical,UG,Android Developer
Flutter; Dart,Marketing,Analytical,PG,Mobile App Developer
Android; Flutter,Machine Learning,Logical,PG,Mobile App Developer
Python; ML Algorithms,Machine Learning,Logical,UG,ML Engineer
Deep Learning; Python,Marketing,Analytical,Diploma,ML Engineer
Linux; Bash; DevOps,DevOps,Social,Diploma,DevOps Engineer
Photoshop; Illustrator,Marketing,Creative,UG,UI/UX Designer
HTML; CSS; JavaScript,Data Analysis,Social,Diploma,Web Developer
Android; Kotlin,Marketing,Analytical,Diploma,Android Developer
Python; ML Algorithms,Programming,Analytical,UG,ML Engineer
MERN Stack,Marketing,Creative,UG,Web Developer
Java; Spring,App Development,Creative,Diploma,Software Engineer
Python; SQL; PowerBI,Mobile Development,Creative,UG,Data Scientist
HTML; CSS; JavaScript,App Development,Analytical,PG,Web Developer
Android Studio; Kotlin,Cloud Computing,Logical,Diploma,Android Developer
Flutter; Dart,Data Analysis,Social,Diploma,Mobile App Developer
Statistics; Python,Designing,Social,PG,Data Scientist
C++; DSA,DevOps,Logical,Diploma,Software Engineer
Machine Learning; Python,Designing,Analytical,UG,Data Scientist
Python; ML Algorithms,Machine Learning,Creative,PG,ML Engineer
Python; Pandas; NumPy,Machine Learning,Logical,Diploma,Data Scientist
Google Ads; Analytics,DevOps,Social,PG,Digital Marketer
Machine Learning; Python,Designing,Creative,UG,Data Scientist
Python; ML Algorithms,DevOps,Logical,PG,ML Engineer
Android; Kotlin,App Development,Analytical,Diploma,Android Developer
Azure; Cloud Security,Mobile Development,Creative,UG,Cloud Engineer
Git; GitHub,Machine Learning,Analytical,PG,Software Engineer
Email Marketing; Branding,Programming,Logical,UG,Digital Marketer
Python; OOP,Data Analysis,Creative,UG,Software Engineer
Social Media Marketing,App Development,Analytical,Diploma,Digital Marketer
Python; Pandas; NumPy,Machine Learning,Analytical,Diploma,Data Scientist
Flutter; Dart,Data Analysis,Analytical,PG,Mobile App Developer
Azure; Cloud Security,Machine Learning,Creative,PG,Cloud Engineer
React Native; JavaScript,Programming,Social,PG,Mobile App Developer
Java; Android,App Development,Social,PG,Android Developer
MERN Stack,App Development,Social,UG,Web Developer
Git; GitHub,Web Development,Analytical,PG,Software Engineer
Azure; Cloud Security,App Development,Analytical,UG,Cloud Engineer
Azure; Cloud Security,Cloud Computing,Logical,Diploma,Cloud Engineer
Flutter; Dart,Designing,Social,UG,Mobile App Developer
GCP; Cloud Architecture,Designing,Creative,UG,Cloud Engineer
Docker; Kubernetes,App Development,Analytical,UG,DevOps Engineer
GCP; Cloud Architecture,App Development,Social,Diploma,Cloud Engineer
Email Marketing; Branding,Mobile Development,Social,UG,Digital Marketer
Java; Android,Designing,Creative,Diploma,Android Developer
Python; SQL; PowerBI,Machine Learning,Social,Diploma,Data Scientist
Python; OOP,Cloud Computing,Social,PG,Software Engineer
Deep Learning; Python,Designing,Analytical,Diploma,ML Engineer
Python; SQL; PowerBI,Mobile Development,Social,PG,Data Scientist
Android Studio; Kotlin,Marketing,Creative,UG,Android Developer
Python; SQL; PowerBI,DevOps,Creative,PG,Data Scientist
Flutter; Dart,Programming,Logical,Diploma,Mobile App Developer
Figma; Prototyping,Mobile Development,Creative,Diploma,UI/UX Designer
Email Marketing; Branding,App Development,Social,UG,Digital Marketer
Git; GitHub,App Development,Creative,PG,Software Engineer
Python; SQL; PowerBI,Machine Learning,Logical,Diploma,Data Scientist
Google Ads; Analytics,Machine Learning,Analytical,UG,Digital Marketer
Linux; Bash; DevOps,Cloud Computing,Social,UG,DevOps Engineer
C++; DSA,Cloud Computing,Social,UG,Software Engineer
Wireframing; User Research,Designing,Social,Diploma,UI/UX Designer
Google Ads; Analytics,App Development,Analytical,PG,Digital Marketer
MERN Stack,Machine Learning,Creative,Diploma,Web Developer
Android; Kotlin,Machine Learning,Social,UG,Android Developer
Python; OOP,Mobile Development,Analytical,PG,Software Engineer
NextJS; JavaScript,Cloud Computing,Creative,UG,Web Developer
Photoshop; Illustrator,DevOps,Logical,PG,UI/UX Designer
Figma; Prototyping,Marketing,Logical,UG,UI/UX Designer
Java; Android,Cloud Computing,Social,UG,Android Developer
Figma; Prototyping,App Development,Analytical,UG,UI/UX Designer
Machine Learning; Python,Marketing,Analytical,PG,Data Scientist
Machine Learning; Python,Web Development,Analytical,UG,Data Scientist
Python; ML Algorithms,App Development,Creative,PG,ML Engineer
Python; ML Algorithms,Cloud Computing,Social,UG,ML Engineer
NextJS; JavaScript,Web Development,Analytical,PG,Web Developer
Android; Flutter,Data Analysis,Social,UG,Mobile App Developer
Java; Spring,App Development,Analytical,UG,Software Engineer
SEO; Content Writing,Web Development,Analytical,Diploma,Digital Marketer
Photoshop; Illustrator,Marketing,Social,UG,UI/UX Designer
HTML; CSS; JavaScript,App Development,Logical,Diploma,Web Developer
Deep Learning; Python,Data Analysis,Analytical,PG,ML Engineer
Java; Android,App Development,Analytical,Diploma,Android Developer
React Native; JavaScript,Mobile Development,Analytical,Diploma,Mobile App Developer
Android Studio; Kotlin,Web Development,Social,PG,Android Developer
Flutter; Dart,Designing,Logical,UG,Mobile App Developer
CI/CD; Jenkins,Data Analysis,Logical,PG,DevOps Engineer
CI/CD; Jenkins,Marketing,Analytical,Diploma,DevOps Engineer
PyTorch; Neural Networks,App Development,Creative,Diploma,ML Engineer
Docker; Kubernetes,DevOps,Social,UG,DevOps Engineer
C++; DSA,Programming,Logical,Diploma,Software Engineer
Linux; Bash; DevOps,Programming,Logical,PG,DevOps Engineer
Linux; Bash; DevOps,Machine Learning,Analytical,Diploma,DevOps Engineer
React Native; JavaScript,Mobile Development,Creative,PG,Mobile App Developer
Docker; Kubernetes,Cloud Computing,Logical,PG,DevOps Engineer
Python; Data Analysis,Cloud Computing,Creative,UG,Data Scientist
Figma; Prototyping,App Development,Logical,Diploma,UI/UX Designer
Linux; Bash; DevOps,Mobile Development,Creative,UG,DevOps Engineer
Linux; Bash; DevOps,App Development,Creative,PG,DevOps Engineer
MERN Stack,Machine Learning,Social,PG,Web Developer
SEO; Content Writing,Cloud Computing,Logical,UG,Digital Marketer
C++; DSA,Programming,Logical,Diploma,Software Engineer
Azure; Cloud Security,Cloud Computing,Social,PG,Cloud Engineer
Python; ML Algorithms,Marketing,Analytical,UG,ML Engineer
Python; ML Algorithms,Cloud Computing,Logical,Diploma,ML Engineer
Social Media Marketing,App Development,Social,PG,Digital Marketer
Android Studio; Kotlin,Programming,Analytical,Diploma,Android Developer
Python; Pandas; NumPy,Programming,Analytical,UG,Data Scientist
Android; Flutter,App Development,Social,PG,Mobile App Developer
SEO; Content Writing,DevOps,Creative,PG,Digital Marketer
Python; Data Analysis,Web Development,Logical,Diploma,Data Scientist
Docker; Kubernetes,Web Development,Analytical,PG,DevOps Engineer
C++; DSA,Designing,Creative,UG,Software Engineer
React; NodeJS,Designing,Creative,UG,Web Developer
SEO; Content Writing,Web Development,Logical,PG,Digital Marketer
Python; Pandas; NumPy,DevOps,Social,Diploma,Data Scientist
Android; Flutter,Machine Learning,Analytical,UG,Mobile App Developer
React; NodeJS,DevOps,Analytical,Diploma,Web Developer
AWS; Cloud,Cloud Computing,Logical,Diploma,Cloud Engineer
Python; Data Analysis,Machine Learning,Analytical,Diploma,Data Scientist
Photoshop; Illustrator,Data Analysis,Analytical,PG,UI/UX Designer
Android; Kotlin,Cloud Computing,Creative,UG,Android Developer
Java; Spring,DevOps,Creative,PG,Software Engineer
Python; ML Algorithms,Marketing,Logical,UG,ML Engineer
Flutter; Dart,Web Development,Social,PG,Mobile App Developer
React Native; JavaScript,Web Development,Social,Diploma,Mobile App Developer
Deep Learning; Python,Data Analysis,Analytical,Diploma,ML Engineer
Python; Pandas; NumPy,Data Analysis,Logical,UG,Data Scientist
Figma; Prototyping,Programming,Creative,UG,UI/UX Designer
Canva; UI Design,Cloud Computing,Logical,Diploma,UI/UX Designer
SEO; Content Writing,DevOps,Creative,UG,Digital Marketer
CI/CD; Jenkins,Cloud Computing,Logical,UG,DevOps Engineer
Canva; UI Design,Designing,Creative,PG,UI/UX Designer
Android Studio; Kotlin,App Development,Social,UG,Android Developer
TensorFlow; Python,Marketing,Logical,Diploma,ML Engineer
Figma; Prototyping,Programming,Creative,UG,UI/UX Designer
Java; Android,Cloud Computing,Social,PG,Android Developer
CI/CD; Jenkins,Web Development,Creative,UG,DevOps Engineer
TensorFlow; Python,Programming,Creative,PG,ML Engineer
Deep Learning; Python,Machine Learning,Logical,PG,ML Engineer
Canva; UI Design,Machine Learning,Creative,Diploma,UI/UX Designer
Python; ML Algorithms,DevOps,Creative,Diploma,ML Engineer
Python; Data Analysis,Designing,Logical,UG,Data Scientist
Photoshop; Illustrator,DevOps,Social,PG,UI/UX Designer
PyTorch; Neural Networks,Machine Learning,Analytical,Diploma,ML Engineer
Python; SQL; PowerBI,Mobile Development,Creative,Diploma,Data Scientist
C++; DSA,Mobile Development,Social,Diploma,Software Engineer
React Native; JavaScript,Mobile Development,Logical,Diploma,Mobile App Developer
Wireframing; User Research,Mobile Development,Analytical,Diploma,UI/UX Designer
Canva; UI Design,Data Analysis,Analytical,PG,UI/UX Designer
NextJS; JavaScript,Programming,Creative,Diploma,Web Developer
NextJS; JavaScript,Cloud Computing,Logical,Diploma,Web Developer
MERN Stack,Designing,Social,Diploma,Web Developer
Social Media Marketing,Machine Learning,Analytical,PG,Digital Marketer
Python; Pandas; NumPy,Cloud Computing,Logical,UG,Data Scientist
SEO; Content Writing,Marketing,Logical,PG,Digital Marketer
Docker; Kubernetes,Marketing,Social,Diploma,DevOps Engineer
MERN Stack,Web Development,Analytical,UG,Web Developer
GCP; Cloud Architecture,Data Analysis,Creative,UG,Cloud Engineer
Deep Learning; Python,Designing,Analytical,Diploma,ML Engineer
Android; Kotlin,Cloud Computing,Logical,Diploma,Android Developer
React Native; JavaScript,Mobile Development,Analytical,PG,Mobile App Developer
Canva; UI Design,Web Development,Social,PG,UI/UX Designer
AWS; Cloud,Marketing,Analytical,UG,Cloud Engineer
Python; ML Algorithms,Mobile Development,Logical,PG,ML Engineer
Python; Pandas; NumPy,Cloud Computing,Logical,PG,Data Scientist
Azure; Cloud Security,Mobile Development,Analytical,UG,Cloud Engineer
MERN Stack,Machine Learning,Social,Diploma,Web Developer
Git; GitHub,Marketing,Creative,Diploma,Software Engineer
Deep Learning; Python,Programming,Logical,UG,ML Engineer
SEO; Content Writing,Data Analysis,Analytical,UG,Digital Marketer
Wireframing; User Research,Machine Learning,Analytical,PG,UI/UX Designer
CI/CD; Jenkins,Machine Learning,Analytical,Diploma,DevOps Engineer
Azure; Cloud Security,Web Development,Logical,UG,Cloud Engineer
React; NodeJS,DevOps,Social,PG,Web Developer
Docker; Kubernetes,Designing,Logical,UG,DevOps Engineer
C++; DSA,Data Analysis,Analytical,PG,Software Engineer
TensorFlow; Python,Data Analysis,Social,PG,ML Engineer
Git; GitHub,Marketing,Analytical,Diploma,Software Engineer
Machine Learning; Python,Data Analysis,Logical,Diploma,Data Scientist
Git; GitHub,DevOps,Logical,UG,Software Engineer
TensorFlow; Python,Programming,Creative,PG,ML Engineer
Photoshop; Illustrator,Web Development,Social,PG,UI/UX Designer
TensorFlow; Python,App Development,Creative,Diploma,ML Engineer
Wireframing; User Research,Machine Learning,Social,UG,UI/UX Designer
React Native; JavaScript,Data Analysis,Analytical,PG,Mobile App Developer
Android; Kotlin,Web Development,Creative,UG,Android Developer
NextJS; JavaScript,Designing,Analytical,Diploma,Web Developer
Python; SQL; PowerBI,Marketing,Logical,PG,Data Scientist
Linux; Bash; DevOps,Machine Learning,Creative,Diploma,DevOps Engineer
Wireframing; User Research,Data Analysis,Analytical,UG,UI/UX Designer
Google Ads; Analytics,Machine Learning,Analytical,UG,Digital Marketer
Python; Data Analysis,Marketing,Analytical,PG,Data Scientist
Linux; Bash; DevOps,Programming,Logical,UG,DevOps Engineer
Google Ads; Analytics,Machine Learning,Analytical,UG,Digital Marketer
Azure; Cloud Security,Marketing,Creative,UG,Cloud Engineer
Git; GitHub,Mobile Development,Analytical,Diploma,Software Engineer
Android Studio; Kotlin,Cloud Computing,Logical,Diploma,Android Developer
Android; Flutter,Data Analysis,Logical,UG,Mobile App Developer
Python; Pandas; NumPy,Marketing,Analytical,PG,Data Scientist
Email Marketing; Branding,Web Development,Logical,PG,Digital Marketer
Git; GitHub,Programming,Logical,UG,Software Engineer
PyTorch; Neural Networks,DevOps,Analytical,PG,ML Engineer
Android; Flutter,Mobile Development,Logical,UG,Mobile App Developer
Android; Flutter,DevOps,Social,PG,Mobile App Developer
Android; Flutter,App Development,Logical,PG,Mobile App Developer
Python; ML Algorithms,Machine Learning,Analytical,PG,ML Engineer
Android; Flutter,Data Analysis,Analytical,PG,Mobile App Developer
Statistics; Python,Machine Learning,Analytical,Diploma,Data Scientist
Flutter; Dart,DevOps,Analytical,Diploma,Mobile App Developer
GCP; Cloud Architecture,Web Development,Creative,PG,Cloud Engineer
React Native; JavaScript,Cloud Computing,Creative,UG,Mobile App Developer
Java; Android,Cloud Computing,Analytical,PG,Android Developer
Docker; Kubernetes,Marketing,Social,Diploma,DevOps Engineer
Canva; UI Design,Web Development,Analytical,UG,UI/UX Designer
Canva; UI Design,Cloud Computing,Logical,UG,UI/UX Designer
React Native; JavaScript,Designing,Social,UG,Mobile App Developer
TensorFlow; Python,Designing,Analytical,PG,ML Engineer
Linux; Bash; DevOps,Cloud Computing,Creative,UG,DevOps Engineer
Java; Spring,App Development,Analytical,PG,Software Engineer
React Native; JavaScript,App Development,Analytical,UG,Mobile App Developer
React Native; JavaScript,Programming,Creative,PG,Mobile App Developer
Python; OOP,DevOps,Analytical,PG,Software Engineer
Figma; Prototyping,Designing,Creative,UG,UI/UX Designer
Java; Android,Web Development,Analytical,Diploma,Android Developer
CI/CD; Jenkins,Cloud Computing,Analytical,PG,DevOps Engineer
HTML; CSS; JavaScript,Mobile Development,Analytical,UG,Web Developer
MERN Stack,Designing,Analytical,PG,Web Developer
Wireframing; User Research,Data Analysis,Analytical,UG,UI/UX Designer
Deep Learning; Python,Data Analysis,Creative,Diploma,ML Engineer
Linux; Bash; DevOps,DevOps,Creative,Diploma,DevOps Engineer
Docker; Kubernetes,Cloud Computing,Analytical,Diploma,DevOps Engineer
Python; ML Algorithms,Marketing,Social,UG,ML Engineer
Deep Learning; Python,Programming,Logical,Diploma,ML Engineer
Social Media Marketing,Mobile Development,Social,UG,Digital Marketer
Docker; Kubernetes,Programming,Social,UG,DevOps Engineer
NextJS; JavaScript,DevOps,Analytical,UG,Web Developer
Python; OOP,Machine Learning,Social,UG,Software Engineer
Figma; Prototyping,DevOps,Social,Diploma,UI/UX Designer
Python; SQL; PowerBI,Mobile Development,Creative,PG,Data Scientist
Python; Data Analysis,Programming,Logical,Diploma,Data Scientist
Linux; Bash; DevOps,Data Analysis,Analytical,UG,DevOps Engineer
Docker; Kubernetes,App Development,Analytical,PG,DevOps Engineer
TensorFlow; Python,App Development,Social,PG,ML Engineer
Flutter; Dart,Machine Learning,Analytical,Diploma,Mobile App Developer
Figma; Prototyping,Mobile Development,Logical,UG,UI/UX Designer
Python; ML Algorithms,Mobile Development,Creative,Diploma,ML Engineer
Java; Android,Cloud Computing,Analytical,PG,Android Developer
CI/CD; Jenkins,DevOps,Social,Diploma,DevOps Engineer
AWS; Cloud,Web Development,Creative,Diploma,Cloud Engineer
Android; Kotlin,Marketing,Analytical,UG,Android Developer
Android Studio; Kotlin,Mobile Development,Social,PG,Android Developer
CI/CD; Jenkins,Cloud Computing,Social,Diploma,DevOps Engineer
Java; Spring,Data Analysis,Analytical,UG,Software Engineer
Android Studio; Kotlin,Designing,Logical,UG,Android Developer
Statistics; Python,App Development,Social,UG,Data Scientist
React Native; JavaScript,Data Analysis,Logical,PG,Mobile App Developer
Statistics; Python,Cloud Computing,Analytical,PG,Data Scientist
Figma; Prototyping,Programming,Logical,Diploma,UI/UX Designer
Python; ML Algorithms,Data Analysis,Creative,UG,ML Engineer
Android; Kotlin,Cloud Computing,Analytical,PG,Android Developer
CI/CD; Jenkins,Data Analysis,Social,UG,DevOps Engineer
React Native; JavaScript,DevOps,Creative,PG,Mobile App Developer
Machine Learning; Python,Data Analysis,Analytical,PG,Data Scientist
GCP; Cloud Architecture,Programming,Logical,Diploma,Cloud Engineer
React Native; JavaScript,Programming,Analytical,PG,Mobile App Developer
Docker; Kubernetes,Programming,Social,UG,DevOps Engineer
React; NodeJS,Web Development,Logical,PG,Web Developer
Deep Learning; Python,Programming,Creative,PG,ML Engineer
CI/CD; Jenkins,Designing,Social,PG,DevOps Engineer
HTML; CSS; JavaScript,Cloud Computing,Logical,Diploma,Web Developer
Python; Pandas; NumPy,Mobile Development,Analytical,PG,Data Scientist
PyTorch; Neural Networks,Data Analysis,Analytical,Diploma,ML Engineer
Android Studio; Kotlin,Machine Learning,Social,UG,Android Developer
Python; ML Algorithms,Designing,Logical,UG,ML Engineer
Azure; Cloud Security,Data Analysis,Analytical,PG,Cloud Engineer
Flutter; Dart,Data Analysis,Creative,PG,Mobile App Developer
Android; Flutter,Designing,Analytical,Diploma,Mobile App Developer
Android; Kotlin,DevOps,Social,Diploma,Android Developer
Python; OOP,Web Development,Social,UG,Software Engineer
Linux; Bash; DevOps,Programming,Analytical,UG,DevOps Engineer
Android Studio; Kotlin,DevOps,Social,Diploma,Android Developer
Docker; Kubernetes,Mobile Development,Creative,UG,DevOps Engineer
Android; Kotlin,DevOps,Social,UG,Android Developer
Python; OOP,Machine Learning,Creative,Diploma,Software Engineer
Figma; Prototyping,DevOps,Social,UG,UI/UX Designer
AWS; Cloud,Mobile Development,Creative,UG,Cloud Engineer
Wireframing; User Research,Data Analysis,Analytical,PG,UI/UX Designer
Linux; Bash; DevOps,Web Development,Logical,Diploma,DevOps Engineer
GCP; Cloud Architecture,Data Analysis,Logical,PG,Cloud Engineer
Git; GitHub,Cloud Computing,Analytical,PG,Software Engineer
Java; Android,Designing,Social,Diploma,Android Developer
Google Ads; Analytics,Machine Learning,Analytical,UG,Digital Marketer
Java; Spring,Cloud Computing,Social,PG,Software Engineer
